time (ms),x-accel,y-accel,z-accel
87184.31587,-0.728729,0.510941,-0.082458
87184.34113,-0.860687,0.587128,-0.137329
87184.3664,-0.75975,0.588013,-0.137436
87184.39165,-0.916733,0.473206,-0.154236
87184.4169,-1.10585,0.541138,-0.184189
87184.44217,-1.350388,0.622238,0.016357
87184.46743,-1.318588,0.575394,-0.10321
87184.4927,-1.007706,0.69342,-0.07106
87184.51795,-0.962006,0.824448,0.046188
87184.5432,-0.844193,0.917984,-0.137894
87184.56848,-0.935944,1.441833,-0.10643
87184.59373,-0.838501,1.864914,0.456604
87184.619,-0.616898,0.811905,0.038864
87184.64425,-0.466705,0.285034,-0.598618
87184.6695,-1.128189,0.060028,0.110016
87184.69477,-1.271774,0.090027,-0.062698
87184.72002,-0.794983,0.524521,-0.238358
87184.7453,-0.441833,0.677353,0.001953
87184.77055,-0.190018,0.700455,0.108368
87184.7958,0.019577,0.553421,0.204559
87184.82107,0.071152,0.187241,0.214767
87184.84633,-0.036362,0.16037,0.272324
87184.8716,-0.319778,0.281357,0.285934
87184.89685,-0.796677,0.377182,0.133881
87184.92211,-1.425705,0.549133,0.696365
87184.94738,-2.309708,0.606583,1.454575
87184.97264,-2.149368,0.495575,0.552536
87184.99791,-0.840591,0.0923,0.266388
87185.02316,-0.23262,0.321198,-0.25563
87185.04842,-0.457703,1.346771,-0.496078
87185.07369,-0.428513,2.991257,0.6642
87185.09894,-0.442566,1.028152,-0.530441
87185.12421,-0.501617,0.359589,-0.897888
87185.14946,-0.640808,0.069916,-0.408951
87185.17472,-0.765121,0.076126,-0.087616
87185.19999,-0.988663,0.572693,0.062363
87185.22524,-1.151367,0.799957,-0.147568
87185.25051,-0.714645,0.566055,0.341766
87185.27577,-0.671432,0.577255,-0.15451
87185.30103,-0.732178,0.395325,-0.340729
87185.3263,-0.851578,0.365875,-0.07962
87185.35156,-0.803818,0.235718,-0.099518
87185.37683,-0.641556,0.326645,0.105072
87185.40208,-0.759109,0.476776,0.15358
87185.42733,-0.83403,0.40744,-0.132355
87185.45261,-0.965927,0.481125,-0.168091
87185.47786,-0.961624,0.416077,-0.037857
87185.50314,-0.960831,0.269073,-0.098099
87185.52839,-1.009888,0.216263,-0.270081
87185.55364,-1.210754,0.360367,-0.239258
87185.57892,-1.377838,0.467224,0.087921
