times (ms),x-accel,y-accel,z-accel
19356.96793,-0.323959,-1.472107,0.11351
19356.99508,-0.383575,-0.817413,-0.498154
19357.02223,-0.104324,-1.017563,-0.452271
19357.04938,0.019318,-1.025879,-0.233597
19357.07657,-0.108246,-0.98085,-0.104996
19357.103720000006,-0.14621,-1.006485,-0.040314
19357.13086,-0.050323,-1.020309,0.029739
19357.15802,-0.031891,-1.029968,0.030136
19357.18517,-0.049057,-1.052261,0.049408
19357.21235,-0.062958,-1.036087,0.134872
19357.2395,-0.019165,-0.971878,0.148743
19357.26665,-0.056946,-1.071548,0.028183
19357.293799999992,-0.119431,-1.14653,-0.13884
19357.32095,-0.198746,-1.143921,-0.068329
19357.34814,-0.21344,-1.111938,0.243515
19357.37529,-0.331955,-1.318451,0.302765
19357.40244,-0.554352,-1.64978,-0.029709
19357.42959,-0.570679,-1.836166,-0.348602
19357.45675,-0.204895,-1.633301,-0.314407
19357.48392,1.130081,-2.209167,0.67923
19357.51108,1.034866,-1.265579,0.012604
19357.538229999995,0.970551,-1.536713,-0.652451
19357.56538,-0.016037,-0.18837,-0.51796
19357.59253,-0.380722,-0.201767,-0.288986
19357.61972,-0.452393,-0.494553,0.255112
19357.64687,-0.348846,-0.915649,0.493851
19357.67402,0.028244,-0.972809,0.786758
19357.70117,0.20166,-1.266281,0.402039
19357.72832,0.295883,-1.49585,0.353012
19357.75551,0.078186,-1.576706,0.417923
19357.78266,-0.109238,-1.768097,0.433105
19357.80981,0.015335,-1.848343,0.825912
19357.83697,0.494751,-1.118179,1.4646
19357.86412,1.087479,-0.76207,1.356934
19357.8913,1.523758,-0.326355,1.704788
19357.91846,1.440491,-0.415497,0.963135
19357.945610000002,0.564941,-1.687378,-0.323746
19357.97276,-0.951065,-1.00177,-2.507278
19357.99990999999,-0.405029,-1.530411,-0.086288
19358.02709,-1.053665,-1.858475,2.789246
19358.05425,-0.137939,-0.988007,0.531174
19358.081400000003,0.047989,-1.072708,-0.363693
19358.10854,-0.163666,-0.946426,-0.851334
19358.1357,0.015656,-1.009094,-0.553757
19358.16289,-0.01268,-1.005173,-0.084961
19358.19004,-0.145615,-1.004471,0.078278
19358.217190000003,-0.189972,-1.030258,-0.011261
19358.24435,-0.145523,-1.033218,-0.092468
19358.271500000003,-0.068726,-1.019165,0.072632
19358.298690000007,0.010437,-0.954071,0.123779
19358.325839999987,0.101776,-0.931839,-0.004852
19358.35299,0.080734,-0.977661,-0.087769
19358.38014,-0.033966,-1.075699,-0.00209
19358.40729,-0.210464,-1.118668,0.113968
19358.43448,-0.289413,-1.121521,0.213943
19358.461630000005,-0.479324,-1.32222,0.320786
19358.48878,-0.733398,-1.538437,-0.091248
19358.51592,-0.529251,-1.737518,-0.282318
19358.54307,-0.256805,-1.662735,-0.342072
19358.57026,1.012299,-2.409073,0.600754
19358.59741,0.824081,-0.722214,0.292084
19358.62456,0.668045,-1.627533,-1.0746
19358.651710000002,-0.004288,-0.360657,-0.75589
19358.67885,-0.492477,-0.103104,-0.539886
19358.70603,-0.251541,-0.634354,-0.018921
19358.73318,-0.103348,-1.186905,0.388382
19358.76033,-0.04039,-1.033279,0.560638
19358.787479999995,0.11084,-1.404358,0.427597
19358.81463,0.183182,-1.603241,0.212082
19358.841810000005,0.209427,-1.7453,0.094437
19358.86896,0.050766,-2.077103,0.229813
19358.89611,-0.04834,-1.636276,0.687775
19358.92325,0.687134,-0.919907,1.761215
19358.9504,1.334076,-0.562271,1.663223
19358.97758,1.517715,-0.281067,1.189819
19359.00473,1.504456,-1.18869,0.364548
19359.03188,0.642258,-0.999481,-0.219528
19359.05903,-0.492996,-0.688446,-0.164963
19359.086180000002,-1.277313,-4.538956,1.04364
19359.11336,-0.543106,-0.579117,2.107025
19359.14051000001,-0.171661,-1.311752,-0.122665
19359.16765,-0.109238,-0.907715,-0.863724
19359.194800000005,0.279648,-1.026932,-0.428436
19359.221939999996,0.024261,-1.035553,0.123184
19359.24913,-0.358215,-1.097641,0.240631
19359.27627,-0.380707,-1.026917,-0.040787
19359.303410000004,-0.066589,-0.988434,-0.19133
19359.330559999995,0.014816,-0.995743,-0.036407
19359.35771,-0.097992,-1.002945,0.154694
19359.38489,-0.096207,-1.002686,0.12561
19359.412030000003,-0.00386,-0.981415,0.051712
19359.43918,-0.01886,-0.899307,0.083466
19359.46633,0.035614,-0.988312,0.115128
19359.49347,0.013016,-1.015915,0.093109
19359.52066,-0.143936,-1.052826,0.207062
19359.547799999997,-0.276291,-1.219131,0.188507
19359.57495,-0.517899,-1.365158,-0.031891
19359.60209,-0.45932,-1.43309,-0.171219
19359.62924,-0.297394,-1.534607,-0.165375
19359.65642,0.239182,-1.678543,0.485535
19359.68357,1.401367,-2.525436,0.620956
19359.71071,1.195358,-1.353439,-0.007568
19359.73786,0.941177,-1.451263,-0.632126
19359.765,-0.078934,-0.235992,-0.398834
19359.79219,-0.504929,-0.10144,-0.144913
19359.81933,-0.479706,-0.282654,0.264145
19359.846479999997,-0.291626,-0.599472,0.359879
19359.87362,0.081741,-1.233902,0.264038
19359.900770000004,0.248917,-1.092422,0.344009
19359.927950000005,0.28154,-1.379395,0.404175
19359.95508,0.274155,-1.757278,0.367569
19359.98225,0.084152,-2.053543,0.481552
19360.00939,0.218582,-2.176544,0.618713
19360.03654,0.221039,-1.408264,1.295975
19360.06373,1.123657,-0.617722,2.103363
19360.09087,1.595444,0.155121,1.816559
19360.11801,1.66954,-0.663452,0.712723
19360.14516,0.39325,-1.674896,-0.977524
19360.1723,-0.375244,-0.813599,-0.430832
19360.19948,-0.330551,-2.327026,0.91153
19360.226630000005,0.075684,-0.744583,2.576782
19360.25378,-0.297424,-1.076706,-0.102219
19360.28092,-0.4496,-0.93132,-0.73996
19360.30807,-0.174896,-0.993057,-0.585617
19360.335250000004,-0.05278,-1.04129,-0.07048
19360.3624,-0.12854,-1.064087,0.154816
19360.38955,-0.217468,-1.020447,-0.05246
19360.41669,-0.096207,-1.011612,-0.138397
19360.44384,-0.018936,-1.022888,-0.0466
19360.47102,-0.006943,-1.025894,0.12323
19360.49817,0.044144,-1.007263,0.200729
19360.52531,0.058792,-0.947998,0.038651
19360.55246,0.053818,-0.909454,-0.014496
19360.57961,0.021774,-1.067123,0.029099
19360.60679,-0.09874,-1.108261,0.113663
19360.63394,-0.225494,-1.057922,0.171738
19360.661079999998,-0.276138,-1.133942,0.208832
19360.68823,-0.40889,-1.446777,-0.071304
19360.715370000005,-0.538788,-1.456757,-0.157578
19360.74256,-0.334747,-1.762085,-0.36499
19360.7697,0.210922,-1.571075,0.454834
19360.79685,1.454361,-2.679321,0.664886
19360.824,0.68222,-1.444519,-0.536652
19360.85114,0.804825,-1.326492,-0.460526
19360.878319999996,0.096878,-0.453293,-0.37616
19360.90547,-0.43132,-0.196442,-0.247086
19360.93262,-0.332611,-0.29892,0.184174
19360.959760000005,-0.092743,-0.628052,0.308014
19360.986909999996,0.12413,-1.078217,0.27037
19361.01409,0.173798,-1.209488,0.508438
19361.04124,0.142075,-1.48317,0.316025
19361.06838,0.240295,-1.829498,0.305466
