time (ms),x-accel,y-accel,z-accel
86977.38748,0.008728,-0.983337,0.174896
86977.41272,-0.017899,-0.969986,0.248795
86977.43796,0.008072,-0.964325,0.278687
86977.46322,0.061768,-0.981018,0.216721
86977.48846,-0.035339,-0.990921,0.231415
86977.51373,-0.106354,-0.987335,0.228729
86977.53897,-0.002899,-1.024231,0.32785
86977.56421,0.058548,-0.986496,0.341705
86977.58947,0.074249,-1.095901,0.310074
86977.61471,0.012573,-1.212219,0.248642
86977.63997,0.05159,-1.514969,0.248932
86977.66521,-0.117157,-1.821991,0.065216
86977.69046,-0.166168,-1.823532,0.006409
86977.71572,-0.426727,-1.396408,0.036758
86977.74097,-0.368225,-1.641815,0.500961
86977.76623,-0.031281,-1.198807,0.484528
86977.79148,0.335556,-1.034531,0.270615
86977.81672,-0.035843,-0.647415,-0.302643
86977.84198,-0.65271,-0.487289,-0.288757
86977.86722,-0.634079,-0.641693,-0.071198
86977.89249,-0.129807,-0.825378,0.061554
86977.91772,-0.038376,-0.869095,0.153198
86977.94296,-0.070343,-0.972504,0.205292
86977.96822,0.119156,-1.103073,0.270767
86977.99347,0.192871,-1.195892,0.358871
86978.01873,0.212601,-1.351929,0.487259
86978.04397,0.272415,-1.401474,0.656296
86978.06921,0.271378,-1.348999,0.55304
86978.09448,0.372711,-1.347137,0.465622
86978.11972,0.461746,-1.399277,0.335892
86978.14499,0.78833,-1.549316,0.323105
86978.17023,0.76622,-1.096405,0.620331
86978.19547,0.825516,-0.649857,0.899643
86978.22074,1.31485,-0.638901,0.261429
86978.24583,0.574081,-0.808533,0.330475
86978.2711,0.421249,-0.909866,0.452301
86978.29634,-0.673676,-1.77272,-0.270737
86978.32157,-1.821274,-1.994553,1.843323
86978.34684,2.60141,-1.278671,-3.563324
86978.37208,1.57634,-1.147614,-0.880127
86978.39735,-0.88829,-1.135529,0.599289
86978.42259,-1.464249,-0.780426,0.16774
86978.44784,0.334595,-0.705948,0.732193
86978.4731,-0.306137,-1.033859,0.378265
86978.49834,-0.723862,-0.909958,0.222153
86978.52361,-0.214539,-0.933655,0.179672
86978.54885,-0.127899,-0.968506,0.119919
86978.57409,-0.048935,-0.989868,0.196182
86978.59935,-0.040985,-0.954926,0.246078
86978.62459,0.046677,-0.963089,0.295731
86978.64986,-0.20018,-0.902054,0.309402
86978.6751,-0.136337,-0.955643,0.25444
86978.70034,0.152359,-1.017639,0.193115
86978.7256,-0.027466,-0.974686,0.24469
86978.75084,-0.063202,-0.981049,0.314575
86978.77611,0.047119,-1.013107,0.339691
86978.80135,0.097244,-1.0186,0.25502
86978.8266,0.136368,-1.093735,0.21904
86978.85186,0.090958,-1.238312,0.291595
86978.87711,0.036728,-1.44165,0.248383
86978.90237,-0.150085,-1.623489,-0.016357
86978.92761,-0.194153,-1.841873,-0.116928
86978.95285,-0.384064,-1.979324,-0.129059
86978.97811,-0.595901,-1.627625,0.339523
86979.00335,-0.032532,-1.780884,0.599243
86979.02861,0.255844,-1.230438,0.870316
86979.05385,0.384537,-0.883606,-0.433716
86979.07909,0.182251,-0.411224,0.270035
86979.10436,-0.241638,-0.570221,0.232391
86979.1296,-0.471405,-0.331436,0.030045
86979.15486,-0.356369,-0.51001,0.199463
86979.1801,-0.024902,-0.706512,0.184616
86979.20533,0.134521,-0.756485,0.238266
86979.2306,0.167923,-0.874573,0.231766
86979.25584,0.245392,-1.072403,0.335114
86979.2811,0.291321,-1.225784,0.401917
86979.30634,0.2883,-1.449448,0.511444
86979.33158,0.310974,-1.648163,0.649536
86979.35685,0.639374,-1.619232,0.969513
86979.38208,0.988647,-1.463928,0.482895
86979.40735,1.181122,-1.200928,0.75209
86979.43259,1.348297,-0.4646,0.885056
86979.45783,1.439178,-0.578522,0.577988
86979.48309,0.681458,-0.883286,0.610306
86979.50833,-0.296677,-2.211578,-0.155548
86979.53359,-1.425888,-1.705658,0.740784
86979.55883,1.395538,-1.733124,-1.251221
86979.58408,1.537079,-0.650665,0.452728
86979.60933,-0.383591,-1.159332,1.287399
86979.63458,-0.858047,-0.859116,-0.03717
86979.65984,0.688416,-1.102768,0.06517
86979.68507,-0.568283,-0.901398,0.035095
86979.71031,-0.174759,-0.920303,0.215622
86979.73557,-0.246185,-0.917419,0.210358
86979.76081,-0.281921,-0.914291,0.237473
86979.78608,0.109924,-1.013,0.219742
86979.8113,0.023376,-0.995392,0.236374
86979.83655,-0.000671,-0.988922,0.246033
86979.86182,0.000214,-0.970581,0.260544
86979.88705,0.091766,-0.995743,0.235031
86979.91232,0.059708,-1.020126,0.259354
86979.93755,0.053818,-0.993896,0.278748
86979.96279,0.019608,-0.998444,0.27919
86979.98805,0.075638,-1.055374,0.265762
86980.01329,0.159698,-1.07373,0.240463
86980.03855,0.158997,-1.150833,0.312424
86980.0638,0.252167,-1.341782,0.253479
86980.08904,0.208603,-1.647629,-0.019394
86980.1143,-0.265335,-1.844772,-0.171341
86980.13954,-0.705139,-1.544586,0.02858
86980.1648,-0.541107,-1.69223,0.50177
86980.19005,0.246048,-1.847366,0.901505
86980.21529,0.692764,-1.347015,-0.307724
86980.24055,0.296677,-0.649796,0.413162
86980.26579,0.058685,-0.961136,0.345612
86980.29105,-0.453934,-0.407242,0.199112
86980.31629,-0.651505,-0.385529,0.019745
86980.34153,-0.282623,-0.626816,0.167496
86980.36679,0.05249,-0.728073,0.0681
86980.39203,0.331726,-0.797562,0.175186
86980.41729,0.413513,-0.931808,0.11438
86980.44253,0.488174,-1.14476,0.312607
86980.46777,0.358505,-1.227905,0.392288
86980.49303,0.307281,-1.558197,0.515869
86980.51827,0.491562,-1.668716,0.762238
86980.54353,1.056076,-1.659317,0.769379
86980.56877,1.214523,-1.404541,0.666733
86980.59401,1.235428,-1.064316,0.648178
86980.61927,1.047806,-0.490005,0.846207
86980.64452,1.48465,-0.631943,0.610809
